Player_ID,event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
61,17,68,1109,4347327,4347329,64116,40,0,1019,1,0,14
61,18,59,1168,3879772,3879775,83974,40,2,1019,2,0,9
61,19,80,1248,2196740,2196740,82666,20,1,1015,0,0,1
61,20,52,1300,7746317,7746317,147675,75,1,1017,0,0,3
55,1,79,79,380585,380585,380585,5,5,1000,0,0,10
55,2,74,153,3705152,3705152,757166,40,5,1000,0,0,4
55,3,71,224,3818999,3819001,1160585,40,0,1004,2,0,14
55,4,40,264,8144268,8144268,2307698,90,0,1004,0,0,17
55,5,67,331,2446547,2446548,1896540,25,0,1006,0,0,11
55,6,62,393,2536208,2536208,1278376,25,5,1011,2,0,6
55,7,70,463,404367,404367,407232,5,64,1009,2,0,2
55,8,33,496,6263601,6263602,609884,60,0,1011,0,0,2
55,9,52,548,6115591,6115591,966166,60,0,1016,0,0,12
55,10,62,610,324265,324265,474436,5,53,1017,2,0,14
55,11,51,661,4712637,4712638,649506,45,49,1020,1,0,18
55,12,77,738,405506,405507,316949,5,6,1021,1,0,23
55,13,81,819,1332872,1332872,242984,15,8,1027,1,0,0
55,14,65,884,3467289,3467289,256897,35,8,1032,0,0,5
55,15,72,956,726998,726999,136098,10,8,1033,0,0,2
55,16,48,1004,5251146,5251146,169795,50,9,1035,1,0,21
55,17,96,1100,426829,426829,94895,5,18,1034,2,0,11
55,18,76,1176,374231,374232,59601,5,8,1037,2,0,9
55,19,74,1250,3744995,3744995,76618,35,6,1040,1,0,13
55,20,57,1307,6451169,6451170,115908,60,2,1039,1,0,12
13,1,66,66,2163219,2163219,2163219,30,5,1000,0,0,5
13,2,81,147,2234292,2234292,1386821,25,20,1002,1,0,6
13,3,71,218,3748271,3748271,1682612,40,10,1005,1,0,2
13,4,45,263,6968056,6968056,2402114,70,2,1005,0,0,5
13,5,81,344,373332,373332,1036581,5,2,1009,0,0,7
13,6,64,408,2095294,2095294,577699,25,2,1015,0,0,7
13,7,40,448,7332374,7332374,921361,75,8,1016,3,0,8
13,8,38,486,4591066,4591066,991271,45,9,1016,1,0,14
13,9,53,539,5767343,5767343,1360711,55,9,1019,0,0,5
13,10,65,604,162905,162905,613132,5,9,1019,0,0,15
13,11,55,659,3612474,3612474,694118,35,12,1021,1,0,5
13,12,57,716,3284885,3284885,719039,35,0,1021,2,0,8
13,13,82,794,1256217,1256217,599696,15,47,1023,3,4,3
13,14,56,850,6269169,6269170,799543,60,19,1023,1,0,6
13,15,62,912,2433491,2433491,650930,25,4,1026,1,0,4
13,16,68,980,451060,451060,403188,5,4,1030,0,0,11
13,17,89,1069,1036360,1036360,302032,10,5,1033,2,0,18
13,18,82,1151,87885,87885,162954,1,52,1039,1,0,12
13,19,69,1216,5088068,5088068,260353,50,22,1042,2,4,28
13,20,53,1269,7663955,7663955,390803,70,24,1045,1,0,20
62,1,75,75,704705,704707,704705,10,0,1000,0,0,9
62,2,54,129,7900980,7900980,4092652,90,15,1003,1,0,8
62,3,80,209,1555514,1555516,2604231,20,14,1004,1,0,3
62,4,26,235,9938496,9938496,5004043,100,14,1006,0,0,17
62,5,58,293,5229690,5229692,4987798,55,15,1004,1,0,7
62,6,61,354,2589982,2589982,4229618,25,2,1007,0,0,2
62,7,57,411,1844410,1844410,3373071,20,2,1013,0,0,0
62,8,26,437,8970001,8970002,4219910,90,13,1017,2,0,7
62,9,52,489,6339388,6339390,4475943,60,5,1021,1,0,2
62,10,54,543,993353,993353,3556074,10,5,1020,0,0,11
62,11,47,590,5923165,5923165,3746839,60,5,1019,2,0,7
62,12,45,631,6551122,6551122,4235838,65,0,1017,3,4,2
62,13,82,709,1232448,1232449,3509608,15,48,1017,2,4,0
62,14,76,781,1328195,1328195,3054478,15,40,1019,2,4,1
62,15,65,846,1833191,1833192,2558760,20,1,1024,1,0,0
62,16,46,892,5770540,5770540,2698090,55,1,1029,0,0,9
62,17,91,983,798648,798648,2056026,10,2,1031,1,0,21
62,18,65,1048,2174305,2174308,1900385,20,11,1036,2,0,5
62,19,88,1136,868966,868967,1566492,10,11,1038,0,0,12
62,20,67,1203,3558816,3558816,1541386,35,10,1043,1,0,4
86,1,70,70,1372029,1372032,1372029,20,0,1000,0,0,0
86,2,69,139,5040452,5040453,2493335,55,15,1001,1,0,0
86,3,82,217,1227367,1227367,1817610,15,10,1001,2,4,0
86,4,51,268,5115881,5115881,1965092,55,1,1004,0,0,7
86,5,74,342,1081580,1081580,1160060,15,1,1005,0,0,0
86,6,55,397,3932376,3932376,1071699,40,9,1013,2,0,0
86,7,50,447,3818841,3818841,979600,40,0,1018,1,0,0
86,8,40,487,3681932,3681935,947507,35,0,1022,0,0,0
86,9,66,553,1951882,1951882,795190,20,3,1024,2,0,5
86,10,49,602,2021020,2021022,680331,20,3,1027,1,0,3
86,11,55,657,3466744,3466744,751622,35,3,1030,0,0,3
86,12,61,718,2266725,2266725,672771,25,3,1030,0,0,6
86,13,64,782,4494898,4494898,852060,45,4,1031,2,0,0
86,14,58,840,5724930,5724930,1037927,55,0,1029,2,0,2
86,15,56,896,3727157,3727158,985428,35,0,1032,0,0,2
86,16,51,947,4221541,4221543,1000601,40,1,1034,2,0,6
86,17,98,1045,302797,302798,605574,5,1,1035,1,0,7
86,18,59,1100,3879772,3879776,724449,40,10,1037,2,4,6
86,19,64,1164,6132990,6132990,954439,60,10,1042,0,0,15
86,20,48,1208,8968562,8968562,1426620,90,0,1042,3,4,1
45,1,61,61,3358109,3358110,3358110,40,0,1000,0,0,2
45,2,87,148,1180686,1180689,1221701,15,0,999,0,0,2
45,3,82,230,1107888,1107891,721685,15,4,1002,0,0,14
45,4,32,262,9440875,9440876,2477039,95,4,1005,0,0,4
45,5,58,320,5229690,5229690,2772895,55,0,1005,1,0,8
45,6,86,406,258912,258912,647929,5,0,1008,0,0,6
45,7,67,473,624905,624905,205812,10,0,1006,4,0,2
45,8,68,541,47757,47757,26408,1,2,1008,1,0,10
45,9,68,609,1380019,1380019,24110,15,2,1011,0,0,6
45,10,70,679,65010,65010,4444,1,5,1016,1,0,3
45,11,54,733,3877307,3877307,11685,40,2,1018,1,0,14
45,12,87,820,79206,79206,1744,1,2,1020,1,0,4
45,13,80,900,1406446,1406446,2093,15,2,1023,0,0,4
45,14,49,949,8156528,8156528,7627,80,3,1025,2,0,8
45,15,68,1017,1322187,1322188,4392,15,2,1026,1,0,5
45,16,42,1059,7189253,7189253,10469,70,2,1029,0,0,12
45,17,74,1133,3209176,3209176,19249,30,2,1031,0,0,16
45,18,66,1199,1983847,1983847,19685,20,5,1031,3,0,11
45,19,70,1269,4625135,4625135,32954,45,5,1032,0,0,6
45,20,75,1344,1831490,1831490,23855,20,0,1033,2,0,3
71,1,60,60,3608218,3608219,3608219,45,0,1000,0,0,4
71,2,78,138,2767751,2767752,2578511,30,0,1001,0,0,1
71,3,72,210,3375740,3375740,2454115,35,0,1005,0,0,1
71,4,33,243,9320380,9320380,4289238,95,0,1004,0,0,3
71,5,69,312,1983739,1983741,3436935,20,0,1003,0,0,5
71,6,59,363,3149510,3149510,3553505,35,4,1009,7,8,2
71,7,46,409,5145545,5145545,3582501,50,4,1012,1,0,3
71,8,47,456,1903692,1903692,2857547,20,3,1011,1,0,0
71,9,69,525,1281919,1281919,2160487,15,1,1014,1,0,1
71,10,49,574,2021020,2021020,1805017,20,0,1019,1,0,7
71,11,63,637,1738965,1738966,1425628,20,0,1022,0,0,1
71,12,59,696,2788854,2788854,1311212,30,0,1024,1,0,10
71,13,65,761,4273634,4273634,1456067,40,74,1030,2,0,5
71,14,57,818,5798090,5798092,1688887,55,0,1026,0,0,2
71,15,59,877,2975774,2975776,1501708,30,0,1032,0,0,2
71,16,43,920,6848149,6848149,1734573,65,0,1036,0,0,9
71,17,77,997,2773659,2773659,1648782,30,0,1038,1,0,8
71,18,68,1065,1541916,1541916,1453922,15,11,1041,3,0,4
71,19,80,1145,2196740,2196741,1351397,20,11,1044,0,0,9
71,20,66,1211,3876017,3876017,1356731,40,6,1046,2,0,12
73,1,66,66,2163219,2163220,2163219,30,0,1000,0,0,3
73,2,92,158,658362,658362,430468,10,0,999,0,0,2
73,3,100,254,29481,29481,65529,1,24,1006,3,4,9
73,4,40,294,8144268,8144269,362319,90,1,1010,0,0,6
73,5,64,358,3231788,3231789,442540,35,1,1011,0,0,3
73,6,37,395,8011978,8011981,1158359,80,1,1015,0,0,2
73,7,53,448,3034005,3034005,932763,30,0,1013,3,0,7
73,8,42,490,3048656,3048656,823817,30,0,1016,0,0,1
73,9,74,560,630753,630753,584253,10,25,1017,3,4,6
73,10,34,594,6940797,6940798,931952,70,25,1021,0,0,4
73,11,52,646,4477023,4477023,1095668,45,29,1021,2,0,12
73,12,63,709,1988109,1988109,911504,20,22,1020,1,0,6
73,13,83,792,1083537,1083537,641973,15,31,1025,1,0,0
73,14,47,839,8421312,8421312,1063944,80,31,1026,0,0,2
73,15,85,924,66727,66727,452060,1,31,1026,0,0,2
